Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Chicago Bears,170,57,28,17,122,48.2,75,23.8,796
Houston Texans,165,61,12,8,149,57.8,62,19.0,812
New York Giants,165,61,22,13,125,47.7,85,27.2,790
Kansas City Chiefs,164,85,11,9,162,55.5,81,24.5,818
New England Patriots,164,56,16,10,112,46.3,68,21.9,759
Denver Broncos,161,60,17,10,117,44.7,84,26.5,765
Dallas Cowboys,158,56,24,8,141,46.7,60,21.8,816
Pittsburgh Steelers,157,61,14,7,98,48.8,81,21.5,754
Las Vegas Raiders,156,54,18,8,152,51.5,49,19.1,775
Miami Dolphins,155,63,23,8,150,53.2,67,20.3,791
Cleveland Browns,152,41,28,18,112,43.9,62,24.7,732
Philadelphia Eagles,151,65,19,12,109,55.0,114,27.9,749
Indianapolis Colts,150,54,17,10,115,56.4,79,25.2,723
Los Angeles Chargers,148,57,8,6,107,53.8,70,22.5,682
Washington Commanders,147,62,14,12,132,53.7,103,28.0,789
Cincinnati Bengals,146,66,14,9,155,56.6,53,21.3,704
New Orleans Saints,141,55,16,9,104,47.3,83,26.6,697
New York Jets,141,56,10,3,124,50.2,50,21.3,667
Detroit Lions,140,64,17,11,152,60.1,108,27.8,785
Tennessee Titans,139,46,14,6,103,48.6,75,24.9,692
Green Bay Packers,136,52,10,5,126,56.5,96,25.8,762
Seattle Seahawks,135,51,16,8,150,53.4,56,22.5,710
Tampa Bay Buccaneers,135,68,9,5,143,53.6,79,27.7,701
Carolina Panthers,133,45,20,7,101,46.1,63,24.2,647
Baltimore Ravens,132,62,10,7,143,61.6,107,28.5,758
Atlanta Falcons,131,49,19,14,132,53.2,70,24.1,706
Buffalo Bills,131,55,14,12,117,53.4,88,28.7,684
Minnesota Vikings,129,52,7,4,129,57.6,71,22.2,706
San Francisco 49ers,129,57,9,3,135,61.6,79,25.2,702
Los Angeles Rams,123,39,17,11,131,51.2,73,27.3,700
Jacksonville Jaguars,119,38,20,10,109,53.2,63,25.6,620
Arizona Cardinals,116,48,11,4,114,53.0,86,28.8,653
