Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens  Ravens,200,681,3.4,6,2,0,21T,34,17.0,0
Commanders  Commanders,251,1287,5.1,9,10,1,56T,70,27.9,3
Eagles  Eagles,184,809,4.4,6,3,0,33T,47,25.5,4
Packers  Packers,240,1017,4.2,8,6,0,34,66,27.5,5
Steelers  Steelers,183,724,4.0,4,3,1,45T,44,24.0,4
Saints  Saints,242,1229,5.1,12,10,1,65T,67,27.7,4
Texans  Texans,217,1028,4.7,5,7,1,58,52,24.0,3
Chiefs  Chiefs,182,671,3.7,5,2,0,26,42,23.1,2
Cardinals  Cardinals,267,1196,4.5,10,4,1,47,72,27.0,3
Lions  Lions,176,851,4.8,8,6,0,37,45,25.6,4
49ers  49ers,197,846,4.3,10,4,1,50T,47,23.9,4
Broncos  Broncos,246,978,4.0,6,7,1,40,49,19.9,2
Bills  Bills,231,1111,4.8,6,8,2,87T,57,24.7,5
Dolphins  Dolphins,216,960,4.4,10,6,2,49T,55,25.5,2
Giants  Giants,247,1283,5.2,7,11,4,55,64,25.9,3
Falcons  Falcons,263,1198,4.6,5,5,1,56,78,29.7,6
Colts  Colts,303,1348,4.4,7,5,1,65T,75,24.8,6
Titans  Titans,205,907,4.4,8,12,1,70T,46,22.4,2
Chargers  Chargers,189,863,4.6,3,7,1,44T,45,23.8,3
Buccaneers  Buccaneers,238,1177,5.0,9,8,3,81,67,28.2,6
Patriots  Patriots,275,1232,4.5,10,6,2,59,68,24.7,6
Bears  Bears,212,1053,5.0,9,6,1,53T,53,25.0,3
Vikings  Vikings,171,655,3.8,3,2,1,45T,26,15.2,3
Jaguars  Jaguars,258,1125,4.4,11,7,0,38T,59,22.9,3
Bengals  Bengals,278,1174,4.2,12,4,1,51,82,29.5,4
Panthers  Panthers,315,1434,4.6,15,5,2,46,83,26.4,0
Rams  Rams,247,1081,4.4,6,5,1,41,64,25.9,3
Browns  Browns,246,1103,4.5,11,12,2,50,58,23.6,4
Seahawks  Seahawks,264,1255,4.8,9,9,2,76,68,25.8,6
Raiders  Raiders,258,1169,4.5,10,9,2,61,57,22.1,2
Jets  Jets,278,1193,4.3,11,5,0,34,72,25.9,4
Cowboys  Cowboys,255,1182,4.6,13,3,0,39,73,28.6,2
